improve	を向上させる；よくなる
relate	を関連づける
provide	を供給する
consider	を見なす、考える
include	を含む
concern	心配する
involve	を関与させる；を伴う
produce	を生産する；を取り出す
allow	を許す；与える；考慮に入れる
require	を要求する；を必要とする
appear	のように見える；現れる
tend	傾向がある；世話する
agree	意見が一致する；同意する
describe	について述べる
add	を加える
depend	頼る；…次第である
encourage	を励ます
exist	存在する；生存する
reduce	を減らす；を変える
adapt	適応する
compare	を比較する；を例える
increase	増加する
suggest	を提案する；を暗示する
cost	（費用）がかかる；を犠牲にする
share	を共有する；を分担する
wonder	かなと思う；驚嘆する
argue	と主張する；議論する
realize	に気付く；を実現する
control	を管理する；を制御する
affect	に影響を及ぼす；を感動させる
find	と分かる；を見つける
notice	に気付く
avoid	を避ける
force	に強いる；を強要する
offer	を提供する、申し出る
demand	を要求する
claim	と主張する；
deal	を処理する
store	を保存する；を蓄える
complete	を完成させる
value	価値；評価
benefit	利益、恩給
opportunity	機会
quality	質；特質
author	著者；張本人
technology	科学技術；応用技術
environment	環境
view	見解；眺め
situation	状況；立場
effect	影響、効果；結果
influence	影響（力）
term	（専門）用語；条件；間柄；楽器
skill	技能；熟練
theory	理論、学説；原理；推測
issue	問題（点）；発行；発表
subject	話題；学科；主題；被験者
article	記事；条項；品物
statement	主張；生命；明細書
experiment	実験
figure	数字；姿；人物；図
evidence	証拠
industry	産業；勤勉
eonomy	経済；節約
medicine	医薬；医学
matter	問題；事態；困難；物質
material	材料；資料；生地
species	種；種類
practice	習慣；実践；練習
focus	焦点
memory	記憶（力）；思い出
right	権利；右；正しいこと
accord	一致；合意、協定
thought	考え；思考
interest	興味；利子；利害
account	説明；勘定；口座
cause	原因；理由；大義
sound	音；響き、印象
individual	個人
certain	確信して；確かな；ある；一定の
possible	可能な；可能性のある
likely	ありそうな
available	手に入る；利用できる
social	社会的な；社交の
public	公の；後悔の
physical	身体の；物質的な；物理学の
scientific	科学的な；科学の
common	普通の；共通の；一般の
general	全般的な；一般的な
particular	特定の；特別の；やかましい
similar	似ている；同様の
various	さまざまな；いくつかの
native	出生地の；原産の；生得の
patient	忍耐強い；勤勉な
recent	最近の
even	…さえ；いっそう
yet	それでも；まだ；もう
rather	かなり；むしろ；それどころか
instead	その代わりに；そうではなくて
simultaneously	同時に；一斉に
each	それぞれ；どれもこれも
callenge	に異議を唱える；挑む
determine	を決定する；を正確に知る
manage	をどうにか成し遂げる；を管理する
maintain	を維持する；を主張する
refer	言及する；関連する；参照する
approach	に近づく；に取り組む
advance	進歩する
express	を表現する
spread	を広める；広がる
occur	起こる；心に浮かぶ；現れる
observe	に気付く；を観察する
recognize	を識別できる；を認める
suppose	と思う；を仮定する
regard	を見なす；を評価する
treat	を扱う；を治療する
search	捜す；を検索する；を詳しく調べる
prove	を証明する；わかる、判明する
establish	を設立する；を確立する
mention	に言及する；と言う
represent	を表す；を代表する
prefer	の方を好む
apply	申し込む；適用させる
seek	を追い求める；を要請する
publish	を出版する；を公表する
perform	を行う；を演じる、演奏する
gain	を獲得する；を増やす
fit	適合する
contain	を含む；を抑える
supply	を供給する
prepare	を準備する；を調理する；を準備する
bear	に耐える；を負う；を運ぶ
prevent	を妨げる；を防ぐ
object	反対する
decline	衰退する；減少する
replace	にとって代わる；を取り替える
connect	をつなぐ；関連づける
attend	に出席する；の世話をする
survive	生き延びる
respect	を尊敬する；を尊重する
waste	を浪費する
advantage	利点；優勢
resource	資源；資金
medium	媒体；手段
method	方法；体系
attitude	考え方；態度
structure	構造；体系；構造物
function	機能；関数
feature	特徴；顔つき；特集記事；番組
aspect	（物事の）側面；観点；様相
content	内容；中身；コンテンツ
detail	（〜s)詳細（な情報）、細部
range	範囲、射程距離；並び
region	地域；領域；部位
trade	貿易；商売、取引
